Round,Pick,Player,Team,Player1
1,1,"Christian McCaffrey Car, RB",Pigskin on the Gridiron,Christian McCaffrey
1,2,"Patrick Mahomes KC, QB",First Timers The FTs,Patrick Mahomes
1,3,"Saquon Barkley NYG, RB",Jumpin' Jaheims,Saquon Barkley
1,4,"Ezekiel Elliott Dal, RB",The G.O.A.T.,Ezekiel Elliott
1,5,"Travis Kelce KC, TE",KC Gophers,Travis Kelce
1,6,"Michael Thomas NO, WR",Middle Earth Hangry Hobbits,Michael Thomas
1,7,"Derrick Henry Ten, RB",Captain Clairvoyant,Derrick Henry
1,8,"Rodrigo Blankenship Ind, K",Southern Sharks,Rodrigo Blankenship
1,9,"Dalvin Cook Min, RB",Georgia Peanuts,Dalvin Cook
1,10,"Lamar Jackson Bal, QB",Athens Team Sasquatch,Lamar Jackson
2,1,"Alvin Kamara NO, RB",Athens Team Sasquatch,Alvin Kamara
2,2,"Davante Adams GB, WR",Georgia Peanuts,Davante Adams
2,3,"Clyde Edwards-Helaire KC, RB",Southern Sharks,Clyde Edwards-Helaire
2,4,"Nick Chubb Cle, RB",Captain Clairvoyant,Nick Chubb
2,5,"Austin Ekeler LAC, RB",Middle Earth Hangry Hobbits,Austin Ekeler
2,6,"Tyreek Hill KC, WR",KC Gophers,Tyreek Hill
2,7,"Josh Jacobs LV, RB",The G.O.A.T.,Josh Jacobs
2,8,"Kenyan Drake Ari, RB",Jumpin' Jaheims,Kenyan Drake
2,9,"Aaron Jones GB, RB",First Timers The FTs,Aaron Jones
2,10,"Miles Sanders Phi, RB",Pigskin on the Gridiron,Miles Sanders
3,1,"Julio Jones Atl, WR",Pigskin on the Gridiron,Julio Jones
3,2,"Adam Thielen Min, WR",First Timers The FTs,Adam Thielen
3,3,"Mike Evans TB, WR",Jumpin' Jaheims,Mike Evans
3,4,"Chris Godwin TB, WR",The G.O.A.T.,Chris Godwin
3,5,"Joe Mixon Cin, RB",KC Gophers,Joe Mixon
3,6,"George Kittle SF, TE",Middle Earth Hangry Hobbits,George Kittle
3,7,"DeAndre Hopkins Ari, WR",Captain Clairvoyant,DeAndre Hopkins
3,8,"Kenny Golladay Det, WR",Southern Sharks,Kenny Golladay
3,9,"Allen Robinson II Chi, WR",Georgia Peanuts,Allen Robinson II 
3,10,"Calvin Ridley Atl, WR",Athens Team Sasquatch,Calvin Ridley
4,1,"Mark Andrews Bal, TE",Athens Team Sasquatch,Mark Andrews
4,2,"James Conner Pit, RB",Georgia Peanuts,James Conner
4,3,"Chris Carson Sea, RB",Southern Sharks,Chris Carson
4,4,"Amari Cooper Dal, WR",Captain Clairvoyant,Amari Cooper
4,5,"DJ Moore Car, WR",Middle Earth Hangry Hobbits,DJ Moore
4,6,"JuJu Smith-Schuster Pit, WR",KC Gophers,JuJu Smith-Schuster
4,7,"Courtland Sutton Den, WR",The G.O.A.T.,Courtland Sutton
4,8,"Tyler Lockett Sea, WR",Jumpin' Jaheims,Tyler Lockett
4,9,"Odell Beckham Jr. Cle, WR",First Timers The FTs,Odell Beckham Jr. 
4,10,"Robert Woods LAR, WR",Pigskin on the Gridiron,Robert Woods
5,1,"Todd Gurley II Atl, RB",Pigskin on the Gridiron,Todd Gurley II 
5,2,"David Johnson Hou, RB",First Timers The FTs,David Johnson
5,3,"Cooper Kupp LAR, WR",Jumpin' Jaheims,Cooper Kupp
5,4,"Jonathan Taylor Ind, RB",The G.O.A.T.,Jonathan Taylor
5,5,"A.J. Brown Ten, WR",KC Gophers,A.J. Brown
5,6,"Kareem Hunt Cle, RB",Middle Earth Hangry Hobbits,Kareem Hunt
5,7,"Melvin Gordon III Den, RB",Captain Clairvoyant,Melvin Gordon III 
5,8,"Zach Ertz Phi, TE",Southern Sharks,Zach Ertz
5,9,"Le'Veon Bell KC, RB",Georgia Peanuts,Le'Veon Bell
5,10,"David Montgomery Chi, RB",Athens Team Sasquatch,David Montgomery
6,1,"Tarik Cohen Chi, RB",Athens Team Sasquatch,Tarik Cohen
6,2,"Darren Waller LV, TE",Georgia Peanuts,Darren Waller
6,3,"Dak Prescott Dal, QB",Southern Sharks,Dak Prescott
6,4,"Hunter Henry LAC, TE",Captain Clairvoyant,Hunter Henry
6,5,"Deshaun Watson Hou, QB",Middle Earth Hangry Hobbits,Deshaun Watson
6,6,"Cam Akers LAR, RB",KC Gophers,Cam Akers
6,7,"Kyler Murray Ari, QB",The G.O.A.T.,Kyler Murray
6,8,"Mark Ingram II Bal, RB",Jumpin' Jaheims,Mark Ingram II 
6,9,"Tyler Higbee LAR, TE",First Timers The FTs,Tyler Higbee
6,10,"Devin Singletary Buf, RB",Pigskin on the Gridiron,Devin Singletary
7,1,"T.Y. Hilton Ind, WR",Pigskin on the Gridiron,T.Y. Hilton
7,2,"Stefon Diggs Buf, WR",First Timers The FTs,Stefon Diggs
7,3,"Evan Engram NYG, TE",Jumpin' Jaheims,Evan Engram
7,4,"Jarvis Landry Cle, WR",The G.O.A.T.,Jarvis Landry
7,5,"Raheem Mostert SF, RB",KC Gophers,Raheem Mostert
7,6,"Keenan Allen LAC, WR",Middle Earth Hangry Hobbits,Keenan Allen
7,7,"DK Metcalf Sea, WR",Captain Clairvoyant,DK Metcalf
7,8,"Terry McLaurin Wsh, WR",Southern Sharks,Terry McLaurin
7,9,"DJ Chark Jr. Jax, WR",Georgia Peanuts,DJ Chark Jr. 
7,10,"A.J. Green Cin, WR",Athens Team Sasquatch,A.J. Green
8,1,"Steelers D/ST Pit, D/ST",Athens Team Sasquatch,Steelers D/ST
8,2,"Matt Ryan Atl, QB",Georgia Peanuts,Matt Ryan
8,3,"Russell Wilson Sea, QB",Southern Sharks,Russell Wilson
8,4,"Noah Fant Den, TE",Captain Clairvoyant,Noah Fant
8,5,"Antonio Gibson Wsh, RB",Middle Earth Hangry Hobbits,Antonio Gibson
8,6,"D'Andre Swift Det, RB",KC Gophers,D'Andre Swift
8,7,"Will Fuller V Hou, WR",The G.O.A.T.,Will Fuller V 
8,8,"Michael Gallup Dal, WR",Jumpin' Jaheims,Michael Gallup
8,9,"49ers D/ST SF, D/ST",First Timers The FTs,49ers D/ST
8,10,"DeVante Parker Mia, WR",Pigskin on the Gridiron,DeVante Parker
9,1,"Tom Brady TB, QB",Pigskin on the Gridiron,Tom Brady
9,2,"Justin Tucker Bal, K",First Timers The FTs,Justin Tucker
9,3,"Ronald Jones II TB, RB",Jumpin' Jaheims,Ronald Jones II
9,4,"Rob Gronkowski TB, TE",The G.O.A.T.,Rob Gronkowski
9,5,"Leonard Fournette TB, RB",KC Gophers,Leonard Fournette
9,6,"Marquise Brown Bal, WR",Middle Earth Hangry Hobbits,Marquise Brown
9,7,"Deebo Samuel SF, WR",Captain Clairvoyant,Deebo Samuel
9,8,"Tyler Boyd Cin, WR",Southern Sharks,Tyler Boyd
9,9,"Bills D/ST Buf, D/ST",Georgia Peanuts,Bills D/ST B
9,10,"Harrison Butker KC, K",Athens Team Sasquatch,Harrison Butke
10,1,"Cam Newton NE, QB",Athens Team Sasquatch,Cam Newton
10,2,"Marvin Jones Jr. Det, WR",Georgia Peanuts,Marvin Jones Jr. 
10,3,"James White NE, RB",Southern Sharks,James White
10,4,"Drew Brees NO, QB",Captain Clairvoyant,Drew Brees
10,5,"Phillip Lindsay Den, RB",Middle Earth Hangry Hobbits,Phillip Lindsay
10,6,"Kerryon Johnson Det, RB",KC Gophers,Kerryon Johnson
10,7,"Jordan Howard Phi, RB",The G.O.A.T.,Jordan Howard
10,8,"Josh Allen Buf, QB",Jumpin' Jaheims,Josh Allen
10,9,"Carson Wentz Phi, QB",First Timers The FTs,Carson Wentz
10,10,"Matthew Stafford Det, QB",Pigskin on the Gridiron,Matthew Stafford
