fullname,division,W,L,points_scored,points_allowed,points_rank,playoff_rank
Georgia Peanuts,Hot Dish,12,4,2130.02,1769.22,1,1
Captain Clairvoyant,Grits,11,5,1956.47,1783.44,2,2
Athens Team Sasquatch,Grits,11,5,1886.72,1754.84,3,3
The G.O.A.T.,Grits,9,7,1757.51,1848.14,4,4
First Timers The FTs,Hot Dish,7,9,1719.72,1844,5,5
KC Gophers,Hot Dish,7,9,1702.68,1761.04,6,6
Jumpin' Jaheims,Grits,7,9,1662.51,1735.53,9,7
Pigskin on  the Gridiron,Grits,6,10,1676.64,1835.06,8,8
Middle Earth Hangry Hobbits,Hot Dish,5,11,1691.72,1774.01,7,9
Southern Sharks,Hot Dish,5,11,1614.96,1693.67,10,10
