abbrev,teamId,location,nickname,owners,teamId1,fullname,division
PEA,1,Georgia,Peanuts,,1,Georgia Peanuts,Hot Dish
HH,2,Middle Earth,Hangry Hobbits,,2,Middle Earth Hangry Hobbits,Hot Dish
TS,3,The Sophomores,TSoph,,3,The Sophomores TSoph,Hot Dish
SHAR,4,Southern,Sharks,,4,Southern Sharks,Hot Dish
GOAt,5,The,G.O.A.T.,,5,The G.O.A.T.,Grits
HOWE,6,KC,Gophers,,6,KC Gophers,Hot Dish
CapC,7,Captain,Clairvoyant,,7,Captain Clairvoyant,Grits
SASQ,8,Athens,Team Sasquatch,,8,Athens Team Sasquatch,Grits
PG,10,Pigskin on ,the Gridiron,,9,Pigskin on  the Gridiron,Grits
JAH,12,Jumpin',Jaheims,,10,Jumpin' Jaheims,Grits
