abbrev,teamId,location,nickname,fullname,division,rowid
PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish,1
HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish,2
TFT,3,First Timers,The FTs,First Timers The FTs,Hot Dish,3
SHAR,4,Southern,Sharks,Southern Sharks,Hot Dish,4
GOAt,5,The,G.O.A.T.,The G.O.A.T.,Grits,5
HOWE,6,KC,Gophers,KC Gophers,Hot Dish,6
CapC,7,Captain,Clairvoyant,Captain Clairvoyant,Grits,7
SASQ,8,Athens,Team Sasquatch,Athens Team Sasquatch,Grits,8
PG,10,Pigskin on ,the Gridiron,Pigskin on  the Gridiron,Grits,9
JAH,12,Jumpin',Jaheims,Jumpin' Jaheims,Grits,10
