add_date,name,points,slot,bench,teamId1,abbrev,teamId,location,nickname,owners,fullname,division,stay
2021-10-06,Dawson Knox,20.200000000000003,6,0,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish,6
2021-10-06,Darnell Mooney,5,20,1,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish,6
2021-10-06,Hunter Renfrow,9.05,4,0,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish,6
2021-10-06,Tyler Bass,8,17,0,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish,6
2021-10-07,Samaje Perine,16.3,20,1,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish,5
2021-10-06,Cowboys D/ST,9,16,0,4,SHAR,4,Southern,Sharks,NA,Southern Sharks,Hot Dish,6
2021-10-06,Dalton Schultz,10.9,6,0,4,SHAR,4,Southern,Sharks,NA,Southern Sharks,Hot Dish,6
2021-10-06,Damien Williams,15.4,23,1,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits,6
2021-10-06,Steelers D/ST,3,16,0,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits,6
2021-10-08,Alex Collins,8.2,20,1,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits,4
2021-10-08,Michael Carter,13.3,20,1,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits,4
2021-10-08,Jaylen Waddle,4.3,4,0,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits,4
2021-10-07,Robert Tonyan,1.3,6,0,10,JAH,12,Jumpin',Jaheims,NA,Jumpin' Jaheims,Grits,5
