awayteam,awaypoints,hometeam,homepoints,away_result,home_result,week
5,76.07,1,81.28,L,W,1
6,149.28,4,135.76,W,L,1
8,129.56,7,137.26,L,W,1
2,94.6,3,111.92,L,W,1
12,103.92,10,134.36,L,W,1
8,115.56,6,103.42,W,L,2
1,89.62,2,139.36,L,W,2
5,83.03,12,109.58,L,W,2
4,106.8,3,108.6,L,W,2
7,109.74,10,144.32,L,W,2
12,141.78,2,125.98,W,L,3
3,103.24,6,80.6,W,L,3
10,125.52,8,91.59,W,L,3
4,75.74,1,125.84,L,W,3
7,120.68,5,91.72,W,L,3
10,104.56,3,158.62,L,W,4
2,120.5,4,121.88,L,W,4
12,94.32,7,53.66,W,L,4
6,96.02,1,103.68,L,W,4
8,122.87,5,149.52,L,W,4
7,147.34,4,114.02,W,L,5
1,158.97,3,132.16,W,L,5
5,98.48,10,107.18,L,W,5
6,91.78,2,125.1,L,W,5
8,149.8,12,111.68,W,L,5
6,105.78,5,80.4,W,L,6
2,121.74,8,142.92,L,W,6
3,131.1,12,110.57,W,L,6
4,128.6,10,95.38,W,L,6
1,100.05,7,124.38,L,W,6
5,80.38,2,111.76,L,W,7
8,126.93,3,117.76,W,L,7
12,100.7,4,144.54,L,W,7
10,120.04,1,108.89,W,L,7
7,118.24,6,87.44,W,L,7
3,125.96,5,80.32,W,L,8
4,90.82,8,121.36,L,W,8
1,102.62,12,78.9,W,L,8
6,81.2,10,108.56,L,W,8
2,102.45,7,92.6,W,L,8
